"function_name","return_declaration","signature","header_file","source_line"
"UF_ABORT_ask_flag_status","extern ""C"" { extern UFUNEXPORT int","extern ""C"" { extern UFUNEXPORT int UF_ABORT_ask_flag_status( logical *flag );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_abort.h","31"
"UF_ABORT_clear_abort","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ABORT_clear_abort( void );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_abort.h","71"
"UF_ABORT_disable_abort","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ABORT_disable_abort( void );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_abort.h","90"
"UF_ABORT_enable_abort","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ABORT_enable_abort( void );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_abort.h","108"
"UF_ask_application_module","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ask_application_module( int* module_id );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_retiring.h","7400"
"UF_ask_grip_args","extern UGOPENINTEXPORT int","extern UGOPENINTEXPORT int UF_ask_grip_args ( int argument_count, UF_args_p_t gruf_arg_list );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_ugopenint.h","213"
"UF_ask_load_state_for_part_file","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ask_load_state_for_part_file ( const char* partFileName, UF_PART_load_state_t* loadState );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_part.h","2257"
"UF_ask_load_state_of_part","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ask_load_state_of_part ( tag_t part, UF_PART_load_state_t* loadState );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_part.h","2275"
"UF_ask_syslog_filename","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ask_syslog_filename( char** filename );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_retiring.h","7189"
"UF_ASSEM_activate_sequence","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_activate_sequence( tag_t sequence );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4419"
"UF_ASSEM_add_part_to_assembly","extern ""C"" { extern UFUNEXPORT int","extern ""C"" { extern UFUNEXPORT int UF_ASSEM_add_part_to_assembly( tag_t parent_part , const char *part, const char *refset_name, const char *instance_name, double origin[3], double csys_matrix[6], int layer, tag_t *instance, UF_PART_load_status_t *error_status );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","394"
"UF_ASSEM_add_part_to_assembly2","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_add_part_to_assembly2( tag_t parent_part, const char *part, const char *refset_name, const char *instance_name, double origin[3], double csys_matrix[9], int layer, tag_t *instance, UF_PART_load_status_t *error_status );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","503"
"UF_ASSEM_add_ref_set_members","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_add_ref_set_members( tag_t ref_set , int member_count , tag_t * ref_set_members );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1275"
"UF_ASSEM_add_sequencing_view","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_add_sequencing_view( tag_t view );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4604"
"UF_ASSEM_add_snapshot_motion_to_sequence","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_add_snapshot_motion_to_sequence ( const char* snapshot_series_name, int num_snapshots, int num_occs, tag_t *occs, double snapshot_series_xforms[], tag_t sequence, tag_t step_to_insert_after, tag_t *snapshot_series );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4868"
"UF_ASSEM_add_to_cset","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_add_to_cset( tag_t cset , tag_t component , logical level );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2819"
"UF_ASSEM_apply_to_cset","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_apply_to_cset( tag_t cset , UF_ASSEM_cset_fn_t fn , void * app_data );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2860"
"UF_ASSEM_apply_to_cset_members","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_apply_to_cset_members( tag_t cset , UF_ASSEM_cset_fn_t fn , void * app_data );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2881"
"UF_ASSEM_ask_active_arrangement","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_active_arrangement( tag_t part, tag_t *arrangement );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5108"
"UF_ASSEM_ask_active_sequence","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_active_sequence( tag_t *sequence );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4434"
"UF_ASSEM_ask_all_comp_cset","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_all_comp_cset( tag_t part , tag_t * cset );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2903"
"UF_ASSEM_ask_all_part_occ_children","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_all_part_occ_children( tag_t part_occur , tag_t ** child_part_occs );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1789"
"UF_ASSEM_ask_arrangements_in_part","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_arrangements_in_part( tag_t part, int *n_arrangements, tag_t **arrangements );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5342"
"UF_ASSEM_ask_arrays_in_part","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_arrays_in_part( tag_t part_tag , int * num_arrays , tag_t ** array_tags );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3196"
"UF_ASSEM_ask_arrays_of_inst","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_arrays_of_inst( tag_t instance , int * num_arrays , tag_t ** arrays );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3175"
"UF_ASSEM_ask_assem_load_options","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_assem_load_options( UF_ASSEM_load_options_t *options );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1125"
"UF_ASSEM_ask_assem_options","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_assem_options( UF_ASSEM_options_t *options );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1089"
"UF_ASSEM_ask_auto_add_new_comps","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_auto_add_new_comps ( tag_t ref_set, logical *add_new_comps );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5554"
"UF_ASSEM_ask_bodies_of_assembly_cut","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_bodies_of_assembly_cut( tag_t frec, int *n_target_bodies , tag_t ** target_body_tags, int *n_tool_bodies, tag_t ** tool_body_tags );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5458"
"UF_ASSEM_ask_child_of_instance","extern UFUNEXPORT tag_t","extern UFUNEXPORT tag_t UF_ASSEM_ask_child_of_instance( tag_t instance );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1643"
"UF_ASSEM_ask_component_data","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_component_data( tag_t component , char part_name[ MAX_FSPEC_BUFSIZE ] , char refset_name[UF_OBJ_NAME_BUFSIZE] , char instance_name[ UF_CFI_MAX_FILE_NAME_BUFSIZE ] , double origin[3] , double csys_matrix[9] , double transform[4][4] );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","663"
"UF_ASSEM_ask_comp_explosion","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_comp_explosion( tag_t explosion , tag_t component , UF_ASSEM_expl_status_p_t status , double transform[4][4] );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2486"
"UF_ASSEM_ask_comp_position","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_comp_position( tag_t explosion , tag_t component , double transform[4][4] );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2538"
"UF_ASSEM_ask_cost_of_sequence","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_cost_of_sequence( tag_t sequence, double *cost );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3961"
"UF_ASSEM_ask_cost_of_step","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_cost_of_step( tag_t step, double *cost );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3944"
"UF_ASSEM_ask_current_frame","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_current_frame( tag_t sequence, int *current_frame );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4767"
"UF_ASSEM_ask_current_step","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_current_step( tag_t sequence, tag_t *step );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4474"
"UF_ASSEM_ask_default_arrangement","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_default_arrangement( tag_t part, tag_t *arrangement );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5242"
"UF_ASSEM_ask_default_ref_sets","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_default_ref_sets( int * n_ref_sets , char *** default_ref_sets );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1166"
"UF_ASSEM_ask_deformable_definition","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_deformable_definition( tag_t part, tag_t *deformable_feature );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5043"
"UF_ASSEM_ask_deformable_definition_data","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_deformable_definition_data ( tag_t deformable_feature_tag, UF_ASSEM_deform_data_p_t deform_data );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5070"
"UF_ASSEM_ask_deformed_definition_data","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_deformed_definition_data ( tag_t deformed_feature_tag, UF_ASSEM_deformed_definition_data_p_t deformed_data );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5054"
"UF_ASSEM_ask_displayed_deformation_of_part_occ","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_displayed_deformation_of_part_occ( tag_t part_occ, tag_t *deformed_feature );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5018"
"UF_ASSEM_ask_exploded_object","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_exploded_object ( tag_t explosion , tag_t old_object , tag_t * new_object );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2569"
"UF_ASSEM_ask_explosions","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_explosions( tag_t part_tag , int* n_explosions, tag_t** explosion_tags );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2228"
"UF_ASSEM_ask_explosion_vector","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_explosion_vector( tag_t component , double vector[3] );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2407"
"UF_ASSEM_ask_hidden_comps","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_hidden_comps( tag_t view , tag_p_t* components , int* count );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2659"
"UF_ASSEM_ask_instance_intent","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_instance_intent( tag_t instance , UF_ASSEM_instance_intent_p_t instance_intent );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3297"
"UF_ASSEM_ask_instance_of_name","extern UFUNEXPORT tag_t","extern UFUNEXPORT tag_t UF_ASSEM_ask_instance_of_name( tag_t parent_part , const char * instance_name );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1971"
"UF_ASSEM_ask_inst_of_part_occ","extern UFUNEXPORT tag_t","extern UFUNEXPORT tag_t UF_ASSEM_ask_inst_of_part_occ( tag_t part_occur );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1952"
"UF_ASSEM_ask_iset_array_data","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_iset_array_data ( tag_t array , UF_ASSEM_iset_array_data_p_t array_data , tag_t ** components );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3073"
"UF_ASSEM_ask_last_filter","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_last_filter ( tag_t part, tag_t *filter_tag, tag_t *cset_tag );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5374"
"UF_ASSEM_ask_mc_array_data","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_mc_array_data ( tag_t array , UF_ASSEM_mc_array_data_p_t array_data , tag_t ** components );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2979"
"UF_ASSEM_ask_name_of_arrangement","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_name_of_arrangement( tag_t arrangement, char **name );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5310"
"UF_ASSEM_ask_occs_of_entity","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_occs_of_entity( tag_t object , tag_t ** occurrences );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2097"
"UF_ASSEM_ask_occs_of_part","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_occs_of_part( tag_t parent_part , tag_t part , tag_t ** part_occs );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1713"
"UF_ASSEM_ask_orientation","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_orientation( tag_t ref_set_tag , double origin[3] , double orientation[9] );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1349"
"UF_ASSEM_ask_parent_component","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_parent_component ( tag_t occur, tag_t *parent );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1905"
"UF_ASSEM_ask_parent_of_instance","extern UFUNEXPORT tag_t","extern UFUNEXPORT tag_t UF_ASSEM_ask_parent_of_instance( tag_t instance );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1624"
"UF_ASSEM_ask_part_name_of_child","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_part_name_of_child( tag_t instance , char part_fspec[ MAX_FSPEC_BUFSIZE ] );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1665"
"UF_ASSEM_ask_part_occs_of_inst","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_part_occs_of_inst( tag_t instance , tag_t ** part_occs );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1841"
"UF_ASSEM_ask_part_occurrence","extern UFUNEXPORT tag_t","extern UFUNEXPORT tag_t UF_ASSEM_ask_part_occurrence( tag_t occurrence );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1888"
"UF_ASSEM_ask_part_occurrence_of_step","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_part_occurrence_of_step( tag_t step, int *num_part_occs, tag_t **part_occs );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4331"
"UF_ASSEM_ask_part_occ_children","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_part_occ_children( tag_t part_occur , tag_t ** child_part_occs );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1765"
"UF_ASSEM_ask_part_occ_of_inst","extern UFUNEXPORT tag_t","extern UFUNEXPORT tag_t UF_ASSEM_ask_part_occ_of_inst( tag_t parent_part_occ , tag_t instance );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1866"
"UF_ASSEM_ask_part_occ_suppress_state","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_part_occ_suppress_state( tag_t part_occ, logical *suppressed, logical *parent_suppressed );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3450"
"UF_ASSEM_ask_prototype_of_occ","extern UFUNEXPORT tag_t","extern UFUNEXPORT tag_t UF_ASSEM_ask_prototype_of_occ( tag_t occurrence );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1586"
"UF_ASSEM_ask_ref_sets","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_ref_sets( tag_t ref_set_member , int * num_ref_sets , tag_p_t * ref_sets );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1235"
"UF_ASSEM_ask_ref_set_data","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_ref_set_data( tag_t ref_set , char ref_set_name[UF_OBJ_NAME_BUFSIZE] , double origin[3] , double matrix[9] , int * num_members , tag_p_t * members );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1397"
"UF_ASSEM_ask_ref_set_members","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_ref_set_members( tag_t ref_set , int * ret_count , tag_p_t * members );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1212"
"UF_ASSEM_ask_root_part_occ","extern UFUNEXPORT tag_t","extern UFUNEXPORT tag_t UF_ASSEM_ask_root_part_occ( tag_t part );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1743"
"UF_ASSEM_ask_save_trueshape","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_save_trueshape( logical *save_trueshape_data );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3532"
"UF_ASSEM_ask_search_directories","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_search_directories( int * count , char *** dir_list , logical ** sub_dir );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1029"
"UF_ASSEM_ask_sequences_in_part","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_sequences_in_part( tag_t part, int *num_sequences, tag_t **sequences );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3807"
"UF_ASSEM_ask_sequence_description","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_sequence_description( tag_t sequence, char **desc );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4118"
"UF_ASSEM_ask_sequence_duration","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_sequence_duration( tag_t sequence, int *duration );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4717"
"UF_ASSEM_ask_sequence_name","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_sequence_name( tag_t sequence, char **name );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4085"
"UF_ASSEM_ask_sequence_type","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_sequence_type ( tag_t sequence, int *seq_type );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4649"
"UF_ASSEM_ask_stable_id_of_instance","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_stable_id_of_instance( tag_t instance_tag, char **stable_id );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5726"
"UF_ASSEM_ask_steps","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_steps( tag_t sequence, int *num_steps, tag_t **steps );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3977"
"UF_ASSEM_ask_steps_of_part_occ","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_steps_of_part_occ( tag_t sequence, tag_t part_occ, int *num_steps, tag_t **steps );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4309"
"UF_ASSEM_ask_step_duration","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_step_duration( tag_t step, int *duration );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4699"
"UF_ASSEM_ask_step_element_durations","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_step_element_durations( tag_t step, int *num_durations, int **durations );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4735"
"UF_ASSEM_ask_step_increment","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_step_increment( tag_t sequence, int *increment );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4171"
"UF_ASSEM_ask_step_number","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_step_number( tag_t step, int *ask_step_number );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4018"
"UF_ASSEM_ask_step_type","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_step_type( tag_t step, int *step_type );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4034"
"UF_ASSEM_ask_suppression_exp","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_suppression_exp( tag_t instance, tag_t *exp );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3512"
"UF_ASSEM_ask_suppress_state","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_suppress_state( tag_t instance, logical *suppressed );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3430"
"UF_ASSEM_ask_time_of_sequence","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_time_of_sequence( tag_t sequence, double *time );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3911"
"UF_ASSEM_ask_time_of_step","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_time_of_step( tag_t step, double *time );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3894"
"UF_ASSEM_ask_transform_of_occ","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_transform_of_occ( tag_t occurrence , double transform[4][4] );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2137"
"UF_ASSEM_ask_type_of_array","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_type_of_array ( tag_t array , int * type );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3132"
"UF_ASSEM_ask_unprocessed_partoccs","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_unprocessed_partoccs( tag_t sequence, int *num_unprocessed_partoccs, tag_t **unprocessed_partoccs );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3784"
"UF_ASSEM_ask_used_arrangement","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_used_arrangement( tag_t component, tag_t *arrangement );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5170"
"UF_ASSEM_ask_view_explosion","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_ask_view_explosion( tag_t view , tag_t * explosion );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2451"
"UF_ASSEM_ask_work_occurrence","extern UFUNEXPORT tag_t","extern UFUNEXPORT tag_t UF_ASSEM_ask_work_occurrence(void);","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1000"
"UF_ASSEM_ask_work_part","extern UFUNEXPORT tag_t","extern UFUNEXPORT tag_t UF_ASSEM_ask_work_part( void );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","877"
"UF_ASSEM_capture_arrangement_from_current_sequence","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_capture_arrangement_from_current_sequence( const char *arrangement_name, tag_t* arrangement, int* warnings_count, int** warnings );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4551"
"UF_ASSEM_capture_arrangement_from_current_sequence_extended","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_capture_arrangement_from_current_sequence_extended( const char *arrangement_name, logical ignore_constraints, tag_t* arrangement, int* warnings_count, int** warnings );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","4509"
"UF_ASSEM_check_array_status","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_check_array_status( tag_t array );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","3255"
"UF_ASSEM_convert_prev16_aligns","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_convert_prev16_aligns ( int n_aligns_to_convert, const UF_ASSEM_prev16_align_t *aligns_to_convert, int *n_messages, UF_ASSEM_prev16_align_t **messages );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5617"
"UF_ASSEM_copy_explosion","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_copy_explosion( tag_t source_explosion , tag_t source_component , tag_t destination_explosion , tag_t destination_component );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2281"
"UF_ASSEM_count_ents_in_part_occ","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_count_ents_in_part_occ( tag_t part_occur );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2012"
"UF_ASSEM_count_objs_in_comp","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_count_objs_in_comp( tag_t comp_tag, int *returned_count );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","1992"
"UF_ASSEM_count_ref_sets_in","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_count_ref_sets_in( tag_t object );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","2686"
"UF_ASSEM_create_assembly_cut","extern UFUNEXPORT int","extern UFUNEXPORT int UF_ASSEM_create_assembly_cut ( tag_t part, logical blank_tool_bodies, int n_target_body_occs, tag_t * target_body_occs, int n_tool_bodies, tag_t * tool_bodies, tag_t *acut_tag );","C:\Program Files\Siemens\DesigncenterNX2512\UGOPEN\uf_assem.h","5401"
